record_no	video_id	vid	start_time	end_time	start_frame	end_frame	caption
743	S12_Eggs_7150991-1088	f17_i009_a00	57.0	59.0	1710	1800	taking a big bowl from a cabinet .
744	S34_Sandwich_7150991-54	f101_i008_a00	41.0	41.0	1230	1260	closing a cabinet .
745	S35_Pizza_7150991-218	f104_i025_a00	452.0	454.0	13560	13650	wiping hands with a paper towel .
746	S54_Eggs_7150991-251	f157_i008_a00	46.0	50.0	1380	1530	cracking an egg into a big bowl .
747	S25_Brownie_7150991-763	f63_i004_a00	27.0	28.0	810	870	opening a fridge .
748	S31_Sandwich_7150991-1	f86_i022_a00	192.0	194.0	5760	5850	putting a butter knife into a sink .
749	S15_Salad_7150991-451	f32_i022_a00	92.0	93.0	2760	2820	putting a bag of croutons into a cabinet .
750	S34_Brownie_7150991-268	f97_i030_a00	146.0	148.0	4380	4470	cutting the bag of brownie mix with a kitchen knife .
751	S34_Sandwich_7150991-54	f101_i000_a00	11.0	12.0	330	390	opening a fridge .
752	S54_Brownie_7150991-308	f156_i043_a00	311.0	313.0	9330	9420	putting a cooking spray into a base cabinet .
753	S54_Pizza_7150991-192	f158_i005_a00	33.0	38.0	990	1170	taking a baking pan out of an oven .
754	S29_Pizza_7150991-1	f75_i027_a00	292.0	301.0	8760	9060	putting pepperoni slices on pizza crust .
755	S41_Pizza_7150991-287	f124_i024_a00	383.0	393.0	11490	11820	taking off the package of a pepperoni stick .
756	S13_Eggs_7150991-1728	f22_i015_a00	91.0	93.0	2730	2820	sprinkling salt on an egg in a big bowl .
757	S36_Sandwich_7150991-165	f111_i023_a00	133.0	134.0	3990	4050	moving a paper plate slightly to the left .
758	S22_Pizza_7150991-664	f59_i043_a00	734.0	738.0	22020	22170	peeling a casing off a pepperoni slice .
759	S18_Eggs_7150991-3391	f45_i025_a00	106.0	108.0	3180	3270	putting a pepper bottle into a cabinet .
760	S20_Brownie_7150991-236	f53_i031_a00	342.0	349.0	10260	10500	putting a baking pan into an oven .
761	S07_Sandwich_7150991-2343	f04_i019_a00	155.0	158.0	4650	4770	closing a strawberry jam jar .
762	S15_Sandwich_7150991-200	f33_i016_a00	49.0	59.0	1470	1800	scooping out blueberry jam from a jar with a butter knife .
763	S31_Brownie_7150991-1	f82_i032_a00	387.0	388.0	11610	11670	closing an oven .
764	S31_Eggs_7150991-1	f83_i016_a00	117.0	119.0	3510	3600	closing a fridge .
765	S20_Sandwich_7150991-1256	f57_i018_a00	126.0	127.0	3780	3840	putting a spoon into a sink .
766	S47_Pizza_7150991-191	f129_i005_a00	64.0	66.0	1920	2010	wringing a pizza crust can with hands .
767	S20_Pizza_7150991-180	f55_i007_a00	45.0	55.0	1350	1680	opening a pizza crust can with hands .
768	S16_Pizza_7150991-3739	f36_i039_a00	422.0	427.0	12660	12840	putting pepperoni slices on pizza crust .
769	S25_Salad_7150991-302	f66_i009_a00	75.0	80.0	2250	2430	peeling a carrot with a peeler .
770	S31_Sandwich_7150991-1	f86_i006_a00	32.0	33.0	960	1020	putting a blueberry jam jar on a counter .
771	S35_Pizza_7150991-218	f104_i015_a00	207.0	210.0	6210	6330	trying to open a tomato sauce jar .
772	S18_Sandwich_7150991-893	f47_i005_a00	32.0	33.0	960	1020	closing a fridge .
773	S11_Pizza_7150991-2116	f14_i025_a00	206.0	209.0	6180	6300	opening a tomato sauce jar .
774	S51_Pizza_7150991-323	f148_i034_a00	454.0	463.0	13620	13920	putting a baking pan into an oven .
775	S33_Brownie_7150991-211	f92_i044_a00	335.0	338.0	10050	10170	taking a cap off a cooking spray .
776	S47_Salad_7150991-196	f130_i017_a00	104.0	111.0	3120	3360	taking ingredients from a fridge .
777	S19_Sandwich_7150991-549	f52_i001_a00	18.0	22.0	540	690	twisting off a twist tie from a bag of sliced bread .
778	S33_Brownie_7150991-211	f92_i004_a00	28.0	32.0	840	990	pressing the buttons on an oven .
779	S31_Brownie_7150991-1	f82_i035_a00	401.0	404.0	12030	12150	taking a cap off a cooking spray .
780	S54_Eggs_7150991-251	f157_i017_a00	76.0	78.0	2280	2370	opening a base cabinet .
781	S49_Brownie_7150991-202	f136_i012_a00	69.0	78.0	2070	2370	taking eggs from an egg carton in a fridge .
782	S22_Salad_7150991-952	f60_i015_a00	145.0	147.0	4350	4440	tearing clelery ribs off a celery stalk .
783	S33_Brownie_7150991-211	f92_i053_a00	414.0	438.0	12420	13170	pouring brownie batter into a baking pan with a whisk .
784	S14_Brownie_7150991-1526	f25_i005_a00	46.0	48.0	1380	1470	opening a drawer .
785	S08_Salad_7150991-649	f07_i023_a00	206.0	209.0	6180	6300	taking a bag of croutons from a cabinet .
786	S28_Pizza_7150991-1	f70_i042_a00	512.0	546.0	15360	16410	putting pepperoni slices on pizza crust .
787	S08_Salad_7150991-649	f07_i030_a00	236.0	240.0	7080	7230	putting a dressing bottle into a fridge .
788	S54_Eggs_7150991-251	f157_i021_a00	86.0	88.0	2580	2670	putting a cap on an oil bottle .
789	S15_Sandwich_7150991-200	f33_i005_a00	24.0	25.0	720	780	opening a fridge .
790	S31_Brownie_7150991-1	f82_i016_a00	154.0	158.0	4620	4770	pouring tap water into a big measuring cup .
791	S11_Pizza_7150991-2116	f14_i008_a00	47.0	49.0	1410	1500	taking a spoon from a drawer .
792	S11_Pizza_7150991-2116	f14_i033_a00	290.0	293.0	8700	8820	peeling a casing off a pepperoni slice .
793	S47_Salad_7150991-196	f130_i029_a00	250.0	266.0	7500	8010	slicing a zucchini with a kitchen knife .
794	S19_Pizza_7150991-399	f50_i026_a00	442.0	444.0	13260	13350	taking sciccors from a drawer .
795	S40_Pizza_7150991-206	f119_i007_a00	107.0	112.0	3210	3390	fixing a tear in pizza crust .
796	S15_Salad_7150991-451	f32_i020_a00	86.0	88.0	2580	2670	putting croutons on a salad .
797	S19_Salad_7150991-1394	f51_i011_a00	133.0	137.0	3990	4140	putting carrot slices into a bowl .
798	S14_Salad_7150991-1238	f28_i010_a00	118.0	128.0	3540	3870	peeling a carrot with a peeler .
799	S17_Salad_7150991-822	f42_i019_a00	301.0	303.0	9030	9120	taking a bag of croutons from a cabinet .
800	S47_Sandwich_7150991-197	f131_i005_a00	46.0	57.0	1380	1740	closing a bag of sliced bread with a twist tie .
801	S34_Brownie_7150991-268	f97_i032_a00	155.0	169.0	4650	5100	pouring brownie mix into a big bowl .
802	S18_Sandwich_7150991-893	f47_i011_a00	66.0	67.0	1980	2040	separating two slices of bread on a paper plate .
803	S16_Pizza_7150991-3739	f36_i041_a00	434.0	438.0	13020	13170	peeling a casing off a pepperoni slice .
804	S48_Salad_7150991-222	f135_i003_a00	30.0	38.0	900	1170	taking a zucchini out of a bag in a fridge .
805	S33_Brownie_7150991-211	f92_i047_a00	361.0	366.0	10830	11010	putting a cap on a cooking spray .
806	S54_Salad_7150991-223	f159_i015_a00	163.0	165.0	4890	4980	sweeping zucchini skins on a cutting board with a kitchen knife .
807	S54_Eggs_7150991-251	f157_i023_a00	93.0	95.0	2790	2880	tightening a cap on an oil bottle .
808	S09_Eggs_7150991-1050	f10_i029_a00	202.0	205.0	6060	6180	putting a frying pan into a sink .
809	S41_Pizza_7150991-287	f124_i032_a00	537.0	543.0	16110	16320	pressing the buttons on an oven .
810	S18_Sandwich_7150991-893	f47_i007_a00	36.0	42.0	1080	1290	twisting off a twist tie from a bag of sliced bread .
811	S07_Eggs_7150991-1466	f01_i017_a00	89.0	101.0	2670	3060	swirling oil around in a frying pan .
812	S13_Salad_7150991-158	f23_i035_a00	295.0	297.0	8850	8940	opening a bag of croutons .
813	S53_Sandwich_7150991-103	f155_i005_a00	33.0	36.0	990	1110	taking slices of bread out of a bag .
814	S54_Pizza_7150991-192	f158_i015_a00	210.0	229.0	6300	6900	opening a package of a block cheese with a kitchen knife .
815	S14_Brownie_7150991-1526	f25_i024_a00	251.0	252.0	7530	7590	opening a base cabinet .
816	S50_Eggs_7150991-313	f142_i017_a00	77.0	79.0	2310	2400	taking a big bowl from a cabinet .
817	S35_Sandwich_7150991-204	f106_i001_a00	13.0	14.0	390	450	taking a bag of sliced bread from a fridge .
818	S51_Brownie_7150991-258	f146_i001_a00	12.0	18.0	360	570	taking eggs from an egg carton in a fridge .
819	S08_Salad_7150991-649	f07_i022_a00	203.0	205.0	6090	6180	taking a dressing bottle from a fridge .
820	S35_Pizza_7150991-218	f104_i034_a00	552.0	555.0	16560	16680	cutting the edge of a pepperoni slice with a kitchen knife .
821	S35_Brownie_7150991-200	f102_i000_a00	11.0	13.0	330	420	taking a big bowl from a cabinet .
822	S31_Eggs_7150991-1	f83_i006_a00	50.0	53.0	1500	1620	taking an oil bottle from a base cabinet .
823	S51_Salad_7150991-225	f149_i005_a00	30.0	33.0	900	1020	taking a cutting board from the corner of a counter .
824	S41_Pizza_7150991-287	f124_i004_a00	25.0	26.0	750	810	putting ingredients on a counter .
825	S25_Eggs_7150991-325	f64_i008_a00	34.0	38.0	1020	1170	taking an egg from an egg carton in a fridge .
826	S25_Sandwich_7150991-782	f67_i016_a00	91.0	97.0	2730	2940	scooping out blueberry jam from a jar with a butter knife .
827	S19_Sandwich_7150991-549	f52_i005_a00	50.0	52.0	1500	1590	taking paper plates from a cabinet .
828	S14_Brownie_7150991-1526	f25_i027_a00	260.0	262.0	7800	7890	taking a cooking spray from a base cabinet .
829	S25_Pizza_7150991-293	f65_i016_a00	144.0	154.0	4320	4650	trying to open a package of a block cheese .
830	S16_Eggs_7150991-858	f35_i003_a00	18.0	19.0	540	600	opening a fridge .
831	S35_Pizza_7150991-218	f104_i022_a00	272.0	278.0	8160	8370	taking a block cheese out of a package .
832	S33_Brownie_7150991-211	f92_i018_a00	122.0	124.0	3660	3750	pouring water into a big bowl .
833	S54_Eggs_7150991-251	f157_i020_a00	81.0	86.0	2430	2610	pouring oil into a frying pan .
834	S41_Pizza_7150991-287	f124_i009_a00	90.0	124.0	2700	3750	unrolling pizza crust on a baking pan .
835	S09_Eggs_7150991-1050	f10_i011_a00	45.0	46.0	1350	1410	opening a fridge .
836	S50_Salad_7150991-243	f144_i008_a00	88.0	111.0	2640	3360	peeling a carrot with a peeler .
837	S17_Brownie_7150991-1231	f39_i029_a00	254.0	258.0	7620	7770	stirring brownie batter with a spoon .
838	S14_Brownie_7150991-1526	f25_i028_a00	263.0	267.0	7890	8040	taking a cap off a cooking spray .
839	S16_Brownie_7150991-1431	f34_i021_a00	128.0	130.0	3840	3930	pouring water into a big bowl .
840	S33_Brownie_7150991-211	f92_i002_a00	15.0	16.0	450	510	opening a fridge .
841	S19_Brownie_7150991-848	f48_i033_a00	368.0	371.0	11040	11160	taking a cooking spray from a base cabinet .
842	S16_Pizza_7150991-3739	f36_i048_a00	504.0	507.0	15120	15240	slicing a pepperoni stick with a kitchen knife .
843	S20_Pizza_7150991-180	f55_i034_a00	456.0	482.0	13680	14490	putting pepperoni slices on pizza crust .
844	S51_Eggs_7150991-512	f147_i032_a00	194.0	196.0	5820	5910	taking a paper plate from a cabinet .
845	S17_Eggs_7150991-1187	f40_i004_a00	22.0	25.0	660	780	pouring oil into a frying pan .
846	S40_Pizza_7150991-206	f119_i017_a00	204.0	206.0	6120	6210	cutting the package of a block cheese with a kitchen knife .
847	S51_Pizza_7150991-323	f148_i014_a00	181.0	183.0	5430	5520	opening a tomato sauce jar .
848	S47_Pizza_7150991-191	f129_i021_a00	248.0	254.0	7440	7650	taking a cutting board from the corner of a counter .
849	S53_Eggs_7150991-187	f152_i015_a00	61.0	66.0	1830	2010	cracking an egg into a big bowl .
850	S49_Brownie_7150991-202	f136_i014_a00	92.0	97.0	2760	2940	cracking an egg into a big bowl .
851	S16_Pizza_7150991-3739	f36_i025_a00	206.0	213.0	6180	6420	opening a package of a block cheese .
852	S19_Sandwich_7150991-549	f52_i016_a00	89.0	91.0	2670	2760	scooping out peanut butter from a jar with a butter knife .
853	S31_Sandwich_7150991-1	f86_i017_a00	118.0	122.0	3540	3690	closing a peanut butter jar .
854	S19_Brownie_7150991-848	f48_i026_a00	229.0	232.0	6870	6990	pouring oil into a big bowl .
855	S20_Pizza_7150991-180	f55_i004_a00	19.0	24.0	570	750	taking a baking pan from a base cabinet .
856	S08_Salad_7150991-649	f07_i018_a00	160.0	172.0	4800	5190	peeling a carrot with a peeler .
857	S47_Sandwich_7150991-197	f131_i018_a00	186.0	187.0	5580	5640	putting a butter knife on a cutting board .
858	S54_Eggs_7150991-251	f157_i028_a00	132.0	135.0	3960	4080	swirling oil around in a frying pan .
859	S31_Brownie_7150991-1	f82_i006_a00	54.0	56.0	1620	1710	opening a drawer .
860	S24_Brownie_7150991-483	f62_i034_a00	352.0	357.0	10560	10740	taking a baking pan from a base cabinet .
861	S48_Salad_7150991-222	f135_i032_a00	298.0	301.0	8940	9060	putting a cap on a dressing bottle .
862	S17_Brownie_7150991-1231	f39_i013_a00	112.0	115.0	3360	3480	pouring oil into a big bowl .
863	S15_Eggs_7150991-424	f30_i003_a00	16.0	18.0	480	570	pouring oil into a frying pan .
864	S50_Salad_7150991-243	f144_i036_a00	424.0	425.0	12720	12780	pushing a cutting board to the corner of a counter .
865	S17_Salad_7150991-822	f42_i003_a00	38.0	78.0	1140	2370	taking leaves from a lettuce head into a bowl .
866	S47_Brownie_7150991-179	f127_i008_a00	34.0	38.0	1020	1170	cracking an egg into a big bowl .
867	S47_Brownie_7150991-179	f127_i029_a00	130.0	137.0	3900	4140	opening a bag of brownie mix .
868	S15_Eggs_7150991-424	f30_i007_a00	24.0	26.0	720	810	taking an egg from an egg carton in a fridge .
869	S22_Sandwich_7150991-878	f61_i010_a00	34.0	35.0	1020	1080	opening a fridge .
870	S17_Pizza_7150991-811	f41_i047_a00	451.0	459.0	13530	13800	slicing a pepperoni stick with a kitchen knife .
871	S47_Brownie_7150991-179	f127_i016_a00	62.0	64.0	1860	1950	taking an oil bottle from a base cabinet .
872	S51_Eggs_7150991-512	f147_i029_a00	139.0	145.0	4170	4380	swirling oil around in a frying pan .
873	S53_Eggs_7150991-187	f152_i024_a00	93.0	95.0	2790	2880	taking a whisk from a drawer .
874	S31_Salad_7150991-1	f85_i041_a00	433.0	438.0	12990	13170	putting a dressing bottle into a fridge .
875	S31_Brownie_7150991-1	f82_i036_a00	407.0	414.0	12210	12450	spraying oil on a baking pan .
876	S17_Sandwich_7150991-4305	f43_i009_a00	34.0	45.0	1020	1380	twisting off a twist tie from a bag of sliced bread .
877	S40_Pizza_7150991-206	f119_i033_a00	383.0	392.0	11490	11790	peeling a casing off a pepperoni stick .
878	S53_Eggs_7150991-187	f152_i020_a00	83.0	88.0	2490	2670	sprinkling salt on eggs in a big bowl .
879	S48_Eggs_7150991-637	f133_i012_a00	61.0	65.0	1830	1980	sprinkling pepper on eggs in a big bowl .
880	S33_Brownie_7150991-211	f92_i024_a00	152.0	154.0	4560	4650	putting a cap on an oil bottle .
881	S07_Eggs_7150991-1466	f01_i008_a00	60.0	63.0	1800	1920	sprinkling salt on a beaten egg in a big bowl .
882	S35_Pizza_7150991-218	f104_i012_a00	180.0	193.0	5400	5820	adjusting the shape of pizza crust with hands .
883	S22_Salad_7150991-952	f60_i030_a00	286.0	288.0	8580	8670	pouring dressing on a salad .
884	S51_Pizza_7150991-323	f148_i008_a00	113.0	117.0	3390	3540	putting pizza crust on a baking pan .
885	S25_Salad_7150991-302	f66_i021_a00	130.0	133.0	3900	4020	closing a bag of celery .
886	S34_Eggs_7150991-149	f98_i029_a00	194.0	197.0	5820	5940	holding a hand over a frying pan .
887	S25_Brownie_7150991-763	f63_i008_a00	46.0	48.0	1380	1470	taking a cooking spray from a base cabinet .
888	S49_Brownie_7150991-202	f136_i029_a00	215.0	226.0	6450	6810	taking a baking pan out of an oven .
889	S07_Eggs_7150991-1466	f01_i011_a00	69.0	72.0	2070	2190	beating an egg with a fork .
890	S13_Salad_7150991-158	f23_i031_a00	263.0	266.0	7890	8010	taking a fork from a drawer .
891	S09_Eggs_7150991-1050	f10_i003_a00	16.0	18.0	480	570	taking a fork from a drawer .
892	S13_Eggs_7150991-1728	f22_i005_a00	45.0	46.0	1350	1410	opening a drawer .
893	S54_Eggs_7150991-251	f157_i005_a00	36.0	38.0	1080	1170	taking an egg from an egg carton .
894	S20_Brownie_7150991-236	f53_i007_a00	36.0	56.0	1080	1710	pouring oil into a small measuring cup .
895	S41_Pizza_7150991-287	f124_i020_a00	353.0	361.0	10590	10860	spreading grated cheese on pizza crust with a spoon .
896	S48_Pizza_7150991-259	f134_i025_a00	423.0	430.0	12690	12930	pressing the buttons on an oven .
897	S34_Eggs_7150991-149	f98_i000_a00	11.0	13.0	330	420	taking a big bowl from a cabinet .
898	S33_Brownie_7150991-211	f92_i001_a00	9.0	11.0	270	360	taking a big bowl from a cabinet .
899	S14_Salad_7150991-1238	f28_i021_a00	234.0	236.0	7020	7110	putting a bag of croutons into a cabinet .
900	S50_Salad_7150991-243	f144_i017_a00	274.0	275.0	8220	8280	opening a fridge .
901	S41_Pizza_7150991-287	f124_i022_a00	371.0	373.0	11130	11220	taking a kitchen knife from a drawer .
902	S48_Brownie_7150991-179	f132_i019_a00	96.0	99.0	2880	3000	taking a bag of brownie mix out of a box .
903	S29_Pizza_7150991-1	f75_i011_a00	67.0	69.0	2010	2100	taking a kitchen knife from a drawer .
904	S14_Brownie_7150991-1526	f25_i004_a00	33.0	41.0	990	1260	taking a bag of brownie mix out of a box .
905	S13_Brownie_7150991-631	f21_i063_a00	654.0	657.0	19620	19740	wiping hands with a paper towel .
906	S54_Eggs_7150991-251	f157_i015_a00	69.0	71.0	2070	2160	sprinkling salt on eggs in a big bowl .
907	S34_Salad_7150991-200	f100_i016_a00	101.0	130.0	3030	3930	cutting a celery stalk with a kitchen knife .
908	S25_Brownie_7150991-763	f63_i007_a00	43.0	45.0	1290	1380	taking an oil bottle from a base cabinet .
909	S33_Brownie_7150991-211	f92_i021_a00	131.0	133.0	3930	4020	taking an oil bottle from a base cabinet .
910	S16_Pizza_7150991-3739	f36_i019_a00	151.0	163.0	4530	4920	spreading tomato sauce on pizza crust with a spoon .
911	S16_Salad_7150991-1308	f37_i020_a00	256.0	264.0	7680	7950	peeling a zucchini with a peeler .
912	S47_Brownie_7150991-179	f127_i035_a00	237.0	243.0	7110	7320	taking a baking pan out of an oven .
913	S50_Brownie_7150991-203	f141_i002_a00	14.0	16.0	420	510	closing a fridge .
914	S22_Brownie_7150991-921	f58_i036_a00	340.0	360.0	10200	10830	pressing the buttons on an oven .
915	S22_Pizza_7150991-664	f59_i033_a00	626.0	627.0	18780	18840	opening a drawer .
916	S47_Salad_7150991-196	f130_i031_a00	274.0	286.0	8220	8610	slicing a zucchini with a kitchen knife .
917	S14_Salad_7150991-1238	f28_i024_a00	245.0	247.0	7350	7440	opening a dressing bottle .
918	S34_Brownie_7150991-268	f97_i038_a00	312.0	316.0	9360	9510	putting a baking pan into an oven .
919	S34_Eggs_7150991-149	f98_i025_a00	135.0	163.0	4050	4920	beating eggs with a whisk .
920	S35_Salad_7150991-146	f105_i017_a00	103.0	105.0	3090	3180	putting a lettuce head into a bag .
921	S54_Eggs_7150991-251	f157_i031_a00	140.0	141.0	4200	4260	closing a drawer .
922	S48_Brownie_7150991-179	f132_i010_a00	52.0	56.0	1560	1710	pouring tap water into a big measuring cup .
923	S28_Pizza_7150991-1	f70_i005_a00	30.0	32.0	900	990	opening an oven .
924	S53_Salad_7150991-143	f154_i035_a00	304.0	312.0	9120	9390	putting croutons on a salad .
925	S22_Pizza_7150991-664	f59_i052_a00	801.0	803.0	24030	24120	taking ingredients from a counter .
926	S22_Pizza_7150991-664	f59_i046_a00	753.0	755.0	22590	22680	peeling a casing off a pepperoni slice .
927	S19_Brownie_7150991-848	f48_i017_a00	113.0	114.0	3390	3450	twisting off an oil bottle cap .
928	S53_Brownie_7150991-211	f151_i010_a00	59.0	62.0	1770	1890	taking a big measuring cup from a cabinet .
929	S34_Salad_7150991-200	f100_i017_a00	132.0	135.0	3960	4080	putting a lettuce head into a bag .
930	S48_Pizza_7150991-259	f134_i022_a00	412.0	414.0	12360	12450	opening an oven .
931	S07_Sandwich_7150991-2343	f04_i003_a00	40.0	43.0	1200	1320	taking slices of bread out of a bag .
932	S20_Sandwich_7150991-1256	f57_i003_a00	19.0	21.0	570	660	taking a paper plate from a cabinet .
933	S54_Sandwich_7150991-305	f160_i028_a00	148.0	161.0	4440	4860	spreading blueberry jam on a slice of bread with a butter knife .
934	S25_Pizza_7150991-293	f65_i003_a00	25.0	27.0	750	840	opening a base cabinet .
935	S25_Pizza_7150991-293	f65_i020_a00	174.0	179.0	5220	5400	opening a package of a block cheese .
936	S20_Eggs_7150991-511	f54_i003_a00	18.0	20.0	540	630	taking a frying pan from a base cabinet .
937	S51_Salad_7150991-225	f149_i013_a00	107.0	120.0	3210	3630	cutting a celery stalk with a kitchen knife .
938	S16_Brownie_7150991-1431	f34_i032_a00	182.0	252.0	5460	7590	mixing the ingredients of brownie in a big bowl with a fork .
939	S36_Sandwich_7150991-165	f111_i021_a00	121.0	124.0	3630	3750	putting a slice of bread on top of another slice of bread .
940	S16_Pizza_7150991-3739	f36_i033_a00	354.0	364.0	10620	10950	spreading grated cheese on pizza crust .
941	S50_Pizza_7150991-250	f143_i007_a00	147.0	168.0	4410	5070	unrolling pizza crust on a baking pan .
942	S40_Brownie_7150991-288	f117_i046_a00	348.0	351.0	10440	10560	putting a baking pan on a cutting board .
943	S12_Eggs_7150991-1088	f17_i027_a00	157.0	159.0	4710	4800	putting a big bowl into a sink .
944	S19_Pizza_7150991-399	f50_i003_a00	29.0	32.0	870	990	taking a tomato sauce jar from a fridge .
945	S53_Pizza_7150991-119	f153_i022_a00	282.0	287.0	8460	8640	squeezing a block cheese out of a package .
946	S19_Pizza_7150991-399	f50_i032_a00	537.0	555.0	16110	16680	grating a block cheese onto pizza crust with a cheese grater .
947	S50_Sandwich_7150991-450	f145_i021_a00	166.0	171.0	4980	5160	putting a slice of bread on top of another slice of bread .
948	S34_Salad_7150991-200	f100_i001_a00	11.0	15.0	330	480	taking a bag of lettuce from a fridge .
949	S31_Brownie_7150991-1	f82_i009_a00	65.0	69.0	1950	2100	cracking an egg into a big bowl .
950	S47_Brownie_7150991-179	f127_i005_a00	21.0	23.0	630	720	taking a big bowl from a cabinet .
951	S40_Brownie_7150991-288	f117_i003_a00	24.0	26.0	720	810	opening a cabinet .
952	S40_Brownie_7150991-288	f117_i040_a00	246.0	255.0	7380	7680	mixing the ingredients of brownie in a big bowl with a whisk .
953	S25_Pizza_7150991-293	f65_i029_a00	353.0	361.0	10590	10860	putting a baking pan into an oven .
954	S40_Pizza_7150991-206	f119_i025_a00	313.0	316.0	9390	9510	taking a block cheese halfway out of a package .
955	S16_Brownie_7150991-1431	f34_i038_a00	295.0	301.0	8850	9060	rubbing brownie batter off a spoon with a fork .
956	S33_Brownie_7150991-211	f92_i034_a00	217.0	222.0	6510	6690	cutting the bag of brownie mix with a kitchen knife .
957	S25_Brownie_7150991-763	f63_i014_a00	86.0	92.0	2580	2790	cracking an egg into a big bowl .
958	S12_Salad_7150991-2146	f19_i006_a00	105.0	110.0	3150	3330	putting celery stalk slices into a bowl .
959	S54_Eggs_7150991-251	f157_i014_a00	65.0	68.0	1950	2070	taking seasonings from a cabinet .
960	S07_Sandwich_7150991-2343	f04_i011_a00	78.0	83.0	2340	2520	scooping out peanut butter from a jar with a butter knife .
961	S16_Brownie_7150991-1431	f34_i030_a00	168.0	171.0	5040	5160	cracking an egg into a big bowl .
962	S32_Sandwich_7150991-1	f91_i023_a00	102.0	124.0	3060	3750	spreading blueberry jam on a slice of bread with a butter knife .
963	S18_Eggs_7150991-3391	f45_i024_a00	103.0	105.0	3090	3180	closing a pepper bottle .
964	S47_Brownie_7150991-179	f127_i014_a00	55.0	57.0	1650	1740	taking a small measuring cup from a cabinet .
965	S25_Eggs_7150991-325	f64_i026_a00	164.0	169.0	4920	5100	taking a paper plate from a cabinet .
966	S18_Eggs_7150991-3391	f45_i030_a00	124.0	127.0	3720	3840	swirling oil around in a frying pan .
967	S09_Eggs_7150991-1050	f10_i012_a00	46.0	49.0	1380	1500	taking an egg from an egg carton in a fridge .
968	S19_Salad_7150991-1394	f51_i015_a00	152.0	158.0	4560	4770	taking a zucchini out of a bag .
969	S34_Sandwich_7150991-54	f101_i003_a00	17.0	20.0	510	630	taking jars from a fridge .
970	S13_Eggs_7150991-1728	f22_i041_a00	293.0	296.0	8790	8910	scraping out remaining beaten egg from a big bowl with a spoon .
971	S31_Brownie_7150991-1	f82_i008_a00	60.0	62.0	1800	1890	closing a drawer .
972	S50_Pizza_7150991-250	f143_i020_a00	429.0	439.0	12870	13200	putting pepperoni slices on pizza crust .
973	S51_Pizza_7150991-323	f148_i016_a00	208.0	216.0	6240	6510	spreading tomato sauce on pizza crust with a spoon .
974	S20_Salad_7150991-475	f56_i010_a00	109.0	112.0	3270	3390	cutting off the top of a carrot with a kitchen knife .
975	S09_Eggs_7150991-1050	f10_i020_a00	85.0	88.0	2550	2670	sprinkling salt on a beaten egg in a big bowl .
976	S22_Pizza_7150991-664	f59_i003_a00	18.0	20.0	540	630	opening a fridge .
977	S07_Eggs_7150991-1466	f01_i020_a00	111.0	115.0	3330	3480	beating an egg with a fork .
978	S14_Salad_7150991-1238	f28_i014_a00	159.0	161.0	4770	4860	cutting off the top of a celery stalk with a kitchen knife .
979	S13_Brownie_7150991-631	f21_i057_a00	628.0	633.0	18840	19020	putting a baking pan into an oven .
980	S20_Sandwich_7150991-1256	f57_i008_a00	60.0	63.0	1800	1920	putting a bag of sliced bread into a cabinet .
981	S09_Eggs_7150991-1050	f10_i024_a00	116.0	123.0	3480	3720	beating an egg with a fork .
982	S40_Brownie_7150991-288	f117_i012_a00	45.0	47.0	1350	1440	opening a cabinet .
983	S35_Brownie_7150991-200	f102_i031_a00	223.0	248.0	6690	7470	pouring brownie batter into a baking pan with a whisk .
984	S49_Brownie_7150991-202	f136_i007_a00	38.0	40.0	1140	1230	cutting the bag of brownie mix with a kitchen knife .
985	S48_Salad_7150991-222	f135_i014_a00	124.0	137.0	3720	4140	peeling a zucchini with a peeler .
986	S36_Sandwich_7150991-165	f111_i015_a00	81.0	87.0	2430	2640	spreading peanut butter on a slice of bread with a butter knife .
987	S41_Pizza_7150991-287	f124_i030_a00	530.0	533.0	15900	16020	wiping hands with a paper towel .
988	S32_Sandwich_7150991-1	f91_i000_a00	9.0	10.0	270	330	opening a fridge .
989	S16_Pizza_7150991-3739	f36_i021_a00	166.0	189.0	4980	5700	spreading tomato sauce on pizza crust with a spoon .
990	S53_Eggs_7150991-187	f152_i006_a00	24.0	30.0	720	930	pouring oil into a frying pan .
991	S54_Sandwich_7150991-305	f160_i013_a00	74.0	81.0	2220	2460	opening a peanut butter jar .
992	S18_Salad_7150991-649	f46_i017_a00	152.0	157.0	4560	4740	pouring dressing on a salad .
993	S17_Brownie_7150991-1231	f39_i018_a00	133.0	137.0	3990	4140	cracking an egg into a big bowl .
994	S11_Pizza_7150991-2116	f14_i013_a00	76.0	80.0	2280	2430	peeling off the label of a pizza crust can .
995	S13_Eggs_7150991-1728	f22_i035_a00	227.0	232.0	6810	6990	beating an egg with a fork .
996	S13_Eggs_7150991-1728	f22_i058_a00	401.0	409.0	12030	12300	taking a fork from a drawer .
997	S47_Salad_7150991-196	f130_i007_a00	36.0	45.0	1080	1380	taking leaves off a lettuce head .
998	S25_Pizza_7150991-293	f65_i019_a00	166.0	174.0	4980	5250	cutting the package of a block cheese with a kitchen knife .
999	S31_Sandwich_7150991-1	f86_i023_a00	196.0	197.0	5880	5940	closing a blueberry jam jar .
1000	S09_Eggs_7150991-1050	f10_i006_a00	28.0	30.0	840	930	taking an oil bottle from a base cabinet .
